"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US13277960600","Census Tract 9606, Tift County, Georgia","6960","612"
"1400000US13245010504","Census Tract 105.04, Richmond County, Georgia","6829","976"
"1400000US13137000400","Census Tract 4, Habersham County, Georgia","4993","539"
"1400000US13255160600","Census Tract 1606, Spalding County, Georgia","3753","313"
"1400000US13295020502","Census Tract 205.02, Walker County, Georgia","6386","654"
"1400000US13139000800","Census Tract 8, Hall County, Georgia","4047","397"
"1400000US13135050523","Census Tract 505.23, Gwinnett County, Georgia","7652","767"
"1400000US13227050600","Census Tract 506, Pickens County, Georgia","6346","598"
"1400000US13139001101","Census Tract 11.01, Hall County, Georgia","5724","686"
"1400000US13245010106","Census Tract 101.06, Richmond County, Georgia","4580","600"
"1400000US13055010600","Census Tract 106, Chattooga County, Georgia","2654","305"
"1400000US13047030202","Census Tract 302.02, Catoosa County, Georgia","6753","463"
"1400000US13051011600","Census Tract 116, Chatham County, Georgia","2298","438"
"1400000US13313001100","Census Tract 11, Whitfield County, Georgia","5314","587"
"1400000US13067031408","Census Tract 314.08, Cobb County, Georgia","6297","575"
"1400000US13057090100","Census Tract 901, Cherokee County, Georgia","9534","496"
"1400000US13089023210","Census Tract 232.10, DeKalb County, Georgia","7746","928"
"1400000US13291000102","Census Tract 1.02, Union County, Georgia","5043","603"
"1400000US13089022800","Census Tract 228, DeKalb County, Georgia","4328","297"
"1400000US13121010604","Census Tract 106.04, Fulton County, Georgia","2587","406"
"1400000US13121009404","Census Tract 94.04, Fulton County, Georgia","4274","421"
"1400000US13273120300","Census Tract 1203, Terrell County, Georgia","2949","332"
"1400000US13153020300","Census Tract 203, Houston County, Georgia","5995","688"
"1400000US13121007900","Census Tract 79, Fulton County, Georgia","5331","492"
"1400000US13179010102","Census Tract 101.02, Liberty County, Georgia","2100","353"
"1400000US13063040525","Census Tract 405.25, Clayton County, Georgia","3176","323"
"1400000US13081010400","Census Tract 104, Crisp County, Georgia","6323","735"
"1400000US13127990000","Census Tract 9900, Glynn County, Georgia","0","13"
"1400000US13037950200","Census Tract 9502, Calhoun County, Georgia","3067","180"
"1400000US13051002600","Census Tract 26, Chatham County, Georgia","1812","235"
"1400000US13245010101","Census Tract 101.01, Richmond County, Georgia","2667","294"
"1400000US13051001100","Census Tract 11, Chatham County, Georgia","1850","222"
"1400000US13089021812","Census Tract 218.12, DeKalb County, Georgia","2139","186"
"1400000US13121011506","Census Tract 115.06, Fulton County, Georgia","6105","380"
"1400000US13135050540","Census Tract 505.40, Gwinnett County, Georgia","7469","658"
"1400000US13121007705","Census Tract 77.05, Fulton County, Georgia","4625","549"
"1400000US13223120601","Census Tract 1206.01, Paulding County, Georgia","5385","447"
"1400000US13089021204","Census Tract 212.04, DeKalb County, Georgia","3308","364"
"1400000US13063040614","Census Tract 406.14, Clayton County, Georgia","4716","453"
"1400000US13297110503","Census Tract 1105.03, Walton County, Georgia","3836","275"
"1400000US13121010115","Census Tract 101.15, Fulton County, Georgia","2774","291"
"1400000US13139001606","Census Tract 16.06, Hall County, Georgia","3761","360"
"1400000US13135050606","Census Tract 506.06, Gwinnett County, Georgia","25421","1930"
"1400000US13067031108","Census Tract 311.08, Cobb County, Georgia","5455","570"
"1400000US13131950500","Census Tract 9505, Grady County, Georgia","6761","652"
"1400000US13201950300","Census Tract 9503, Miller County, Georgia","2331","228"
"1400000US13223120303","Census Tract 1203.03, Paulding County, Georgia","1803","240"
"1400000US13215002700","Census Tract 27, Muscogee County, Georgia","2024","581"
"1400000US13107970600","Census Tract 9706, Emanuel County, Georgia","4593","462"
"1400000US13099090500","Census Tract 905, Early County, Georgia","1884","211"
"1400000US13021013202","Census Tract 132.02, Bibb County, Georgia","2294","557"
"1400000US13053020205","Census Tract 202.05, Chattahoochee County, Georgia","2345","305"
