"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"1400000US45079011407","Census Tract 114.07, Richland County, South Carolina","4401","738"
"1400000US45007011300","Census Tract 113, Anderson County, South Carolina","7025","612"
"1400000US45045004200","Census Tract 42, Greenville County, South Carolina","2311","176"
"1400000US45069960200","Census Tract 9602, Marlboro County, South Carolina","5237","512"
"1400000US45069960400","Census Tract 9604, Marlboro County, South Carolina","4510","402"
"1400000US45059921001","Census Tract 9210.01, Laurens County, South Carolina","3022","338"
"1400000US45063020510","Census Tract 205.10, Lexington County, South Carolina","4747","502"
"1400000US45079011800","Census Tract 118, Richland County, South Carolina","6108","879"
"1400000US45083022004","Census Tract 220.04, Spartanburg County, South Carolina","2722","256"
"1400000US45043920201","Census Tract 9202.01, Georgetown County, South Carolina","5149","435"
"1400000US45079001000","Census Tract 10, Richland County, South Carolina","3346","316"
"1400000US45029990100","Census Tract 9901, Colleton County, South Carolina","0","12"
"1400000US45045002903","Census Tract 29.03, Greenville County, South Carolina","8024","623"
"1400000US45007012200","Census Tract 122, Anderson County, South Carolina","6050","636"
"1400000US45035010817","Census Tract 108.17, Dorchester County, South Carolina","4284","365"
"1400000US45045003707","Census Tract 37.07, Greenville County, South Carolina","3380","337"
"1400000US45045003802","Census Tract 38.02, Greenville County, South Carolina","4606","516"
"1400000US45045003902","Census Tract 39.02, Greenville County, South Carolina","4082","259"
"1400000US45019002802","Census Tract 28.02, Charleston County, South Carolina","2527","290"
"1400000US45063020507","Census Tract 205.07, Lexington County, South Carolina","6568","763"
"1400000US45035010814","Census Tract 108.14, Dorchester County, South Carolina","6356","609"
"1400000US45007012002","Census Tract 120.02, Anderson County, South Carolina","5035","345"
"1400000US45077010602","Census Tract 106.02, Pickens County, South Carolina","7158","561"
"1400000US45063021017","Census Tract 210.17, Lexington County, South Carolina","8372","635"
"1400000US45045001807","Census Tract 18.07, Greenville County, South Carolina","5224","465"
"1400000US45013000700","Census Tract 7, Beaufort County, South Carolina","5841","481"
"1400000US45003021900","Census Tract 219, Aiken County, South Carolina","5566","571"
"1400000US45057010800","Census Tract 108, Lancaster County, South Carolina","2726","361"
"1400000US45075010200","Census Tract 102, Orangeburg County, South Carolina","5047","570"
"1400000US45049920200","Census Tract 9202, Hampton County, South Carolina","6434","536"
"1400000US45077010700","Census Tract 107, Pickens County, South Carolina","4131","401"
"1400000US45079002900","Census Tract 29, Richland County, South Carolina","3722","381"
"1400000US45019005000","Census Tract 50, Charleston County, South Carolina","5247","613"
"1400000US45041980100","Census Tract 9801, Florence County, South Carolina","0","12"
"1400000US45091061900","Census Tract 619, York County, South Carolina","4576","408"
"1400000US45047970701","Census Tract 9707.01, Greenwood County, South Carolina","2437","264"
"1400000US45049920500","Census Tract 9205, Hampton County, South Carolina","2016","319"
"1400000US45051060102","Census Tract 601.02, Horry County, South Carolina","3041","480"
"1400000US45013010300","Census Tract 103, Beaufort County, South Carolina","4391","426"
"1400000US45019005500","Census Tract 55, Charleston County, South Carolina","1470","321"
"1400000US45015020201","Census Tract 202.01, Berkeley County, South Carolina","3648","397"
"1400000US45083022302","Census Tract 223.02, Spartanburg County, South Carolina","5223","564"
"1400000US45079011603","Census Tract 116.03, Richland County, South Carolina","5778","483"
"1400000US45029970200","Census Tract 9702, Colleton County, South Carolina","1455","189"
"1400000US45083022102","Census Tract 221.02, Spartanburg County, South Carolina","2168","193"
"1400000US45019002101","Census Tract 21.01, Charleston County, South Carolina","13660","773"
"1400000US45079010407","Census Tract 104.07, Richland County, South Carolina","4173","367"
"1400000US45091060401","Census Tract 604.01, York County, South Carolina","2874","348"
"1400000US45063021019","Census Tract 210.19, Lexington County, South Carolina","1679","124"
"1400000US45091060803","Census Tract 608.03, York County, South Carolina","5321","769"
"1400000US45045002608","Census Tract 26.08, Greenville County, South Carolina","9133","535"
"1400000US45083023202","Census Tract 232.02, Spartanburg County, South Carolina","3822","330"
"1400000US45019002604","Census Tract 26.04, Charleston County, South Carolina","3477","388"
"1400000US45091061302","Census Tract 613.02, York County, South Carolina","5067","399"
"1400000US45025950501","Census Tract 9505.01, Chesterfield County, South Carolina","2230","278"
"1400000US45013000200","Census Tract 2, Beaufort County, South Carolina","6074","667"
"1400000US45031011200","Census Tract 112, Darlington County, South Carolina","4474","484"
"1400000US45051040500","Census Tract 405, Horry County, South Carolina","3831","399"
"1400000US45063020801","Census Tract 208.01, Lexington County, South Carolina","1572","215"
"1400000US45073031000","Census Tract 310, Oconee County, South Carolina","5071","484"
